,0,1,2,3
0,60,4-eng 4-English,T006 Teacher006,M07 Monday 4:30 - 5:30
1,61,4-eng 4-English,T006 Teacher006,M01 Monday 9:30 - 10:30
2,62,4-eng 4-English,T006 Teacher006,F01 Friday 9:30 - 10:30
3,63,4-eng 4-English,T006 Teacher006,M03 Monday 11:30 - 12:30
4,64,4-eng 4-English,T006 Teacher006,W02 Wednesday 10:30 - 11:30
5,65,4-eng 4-English,T006 Teacher006,W01 Wednesday 9:30 - 10:30
6,66,4-mat 4-Maths,T008 Teacher008,Th03 Thursday 11:30 - 12:30
7,67,4-mat 4-Maths,T008 Teacher008,M04 Monday 12:30 - 1:30
8,68,4-mat 4-Maths,T008 Teacher008,T01 Tuesday 9:30 - 10:30
9,69,4-mat 4-Maths,T008 Teacher008,M05 Monday 2:30 - 3:30
10,70,4-mat 4-Maths,T008 Teacher008,T04 Tuesday 12:30 - 1:30
11,71,4-mat 4-Maths,T008 Teacher008,W05 Wednesday 2:30 - 3:30
12,72,4-sci 4-Science,T002 Teacher002,M04 Monday 12:30 - 1:30
13,73,4-sci 4-Science,T002 Teacher002,Th05 Thursday 2:30 - 3:30
14,74,4-sci 4-Science,T002 Teacher002,W03 Wednesday 11:30 - 12:30
15,75,4-sci 4-Science,T002 Teacher002,F03 Friday 11:30 - 12:30
16,76,4-sci 4-Science,T002 Teacher002,T07 Tuesday 4:30 - 5:30
17,77,4-sci 4-Science,T002 Teacher002,T06 Tuesday 3:30 - 4:30
18,78,4-soc 4-Social,T004 Teacher004,T02 Tuesday 10:30 - 11:30
19,79,4-soc 4-Social,T004 Teacher004,Th01 Thursday 9:30 - 10:30
20,80,4-soc 4-Social,T004 Teacher004,Th05 Thursday 2:30 - 3:30
21,81,4-soc 4-Social,T004 Teacher004,T01 Tuesday 9:30 - 10:30
22,82,4-soc 4-Social,T004 Teacher004,M03 Monday 11:30 - 12:30
23,83,4-soc 4-Social,T004 Teacher004,F04 Friday 12:30 - 1:30
24,84,4-tam 4-Tamil,T010 Teacher010,W04 Wednesday 12:30 - 1:30
25,85,4-tam 4-Tamil,T010 Teacher010,F06 Friday 3:30 - 4:30
26,86,4-tam 4-Tamil,T010 Teacher010,M04 Monday 12:30 - 1:30
27,87,4-tam 4-Tamil,T010 Teacher010,T04 Tuesday 12:30 - 1:30
28,88,4-tam 4-Tamil,T010 Teacher010,W06 Wednesday 3:30 - 4:30
29,89,4-tam 4-Tamil,T010 Teacher010,F04 Friday 12:30 - 1:30
